2023-09-22 17:25:13 T1:29.56, T2:22.76, T3:22.83, T4:22.72, T5:22.45, T6:22.59, T7:22.32, T8:22.18, T9:22.05, T10:22.22, T11:22.15, T12:22.15, T13:22.18, T14:8.50, T15:30.40, F1:0.21, F2:0.21, F3:0.21, SR1:75.70, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:18 T1:29.49, T2:22.72, T3:22.83, T4:22.76, T5:22.45, T6:22.79, T7:22.32, T8:22.18, T9:22.01, T10:22.18, T11:22.18, T12:22.15, T13:22.15, T14:8.50, T15:30.40, F1:0.21, F2:0.21, F3:0.21, SR1:71.41, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:24 T1:29.53, T2:22.76, T3:22.79, T4:22.76, T5:22.45, T6:23.06, T7:22.32, T8:22.18, T9:22.05, T10:22.22, T11:22.22, T12:22.12, T13:22.22, T14:nan, T15:30.40, F1:0.22, F2:0.21, F3:0.21, SR1:68.51, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:30 T1:29.56, T2:22.72, T3:22.83, T4:22.72, T5:22.45, T6:23.37, T7:22.32, T8:22.18, T9:22.05, T10:22.22, T11:22.18, T12:22.15, T13:22.18, T14:nan, T15:30.40, F1:0.21, F2:0.21, F3:0.21, SR1:79.32, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:35 T1:29.49, T2:22.76, T3:22.83, T4:22.76, T5:22.45, T6:23.67, T7:22.35, T8:22.18, T9:22.05, T10:22.22, T11:22.15, T12:22.08, T13:22.22, T14:nan, T15:30.50, F1:0.22, F2:0.21, F3:0.21, SR1:84.88, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:41 T1:29.56, T2:22.76, T3:22.83, T4:22.72, T5:22.45, T6:23.94, T7:22.35, T8:22.22, T9:22.01, T10:22.22, T11:22.18, T12:22.12, T13:22.18, T14:21.30, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:91.83, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:46 T1:29.59, T2:22.72, T3:22.86, T4:22.72, T5:22.45, T6:24.18, T7:22.32, T8:22.22, T9:22.01, T10:22.22, T11:22.15, T12:22.08, T13:22.18, T14:8.50, T15:30.50, F1:0.21, F2:0.22, F3:0.21, SR1:121.65, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:52 T1:29.59, T2:22.72, T3:22.83, T4:22.76, T5:22.45, T6:24.42, T7:22.35, T8:22.18, T9:22.01, T10:22.22, T11:22.18, T12:22.12, T13:22.15, T14:8.50, T15:30.50, F1:0.21, F2:0.22, F3:0.21, SR1:142.61, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:57 T1:29.53, T2:22.69, T3:22.83, T4:22.76, T5:22.45, T6:24.58, T7:22.35, T8:22.18, T9:22.01, T10:22.22, T11:22.18, T12:22.12, T13:22.18, T14:nan, T15:30.50, F1:0.21, F2:0.21, F3:0.22, SR1:138.93, A:1110000.00, Circ pump counter: 0
2023-09-22 17:26:03 T1:29.56, T2:22.76, T3:22.83, T4:22.72, T5:22.45, T6:24.72, T7:22.35, T8:22.18, T9:22.01, T10:22.22, T11:22.18, T12:22.12, T13:22.18, T14:nan, T15:30.50, F1:0.21, F2:0.22, F3:0.21, SR1:134.23, A:1110000.00, Circ pump counter: 0
